UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,H0001,L,300.5347846281438,310.6504500925361,1384.664948940404,30.153452151527375,167,0,0,0,0,0,0
2,L0002,M,300.64339561239206,308.49691969824016,1613.731454236473,32.07476552884788,44,0,0,0,0,0,0
3,H0003,L,298.6638190927139,311.05194761772293,1533.8552876285914,35.76401418271823,104,0,0,0,0,0,0
4,H0004,H,301.98408469907304,309.00193937268557,1406.20744234636,26.343825958098506,149,0,0,0,0,0,0
5,L0005,L,299.65008048660917,309.61602872804764,1521.6624975404618,30.258781537836317,145,0,0,0,0,0,0
6,L0006,L,298.4885096810143,310.2502002062517,1397.4247316359722,47.03427916787309,203,1,1,0,0,0,0
7,H0007,H,301.0730196871408,311.99566748978395,1610.0821398422604,26.92630217769036,298,0,0,0,0,0,0
8,M0008,H,298.2030640364179,313.10991855600537,1606.1370964873133,24.021278655051624,166,0,0,0,0,0,0
9,H0009,H,300.05636231473824,310.6067230591362,1553.2006198821944,33.69975020466106,200,0,0,0,0,0,0
10,H0010,L,299.9817620067116,309.8168033812796,1536.1661061247016,47.31955502509846,133,1,0,0,0,0,0
11,H0011,L,302.17179113166316,310.53450564848055,1676.1188124867374,38.0307819200311,210,0,0,0,0,0,0
12,H0012,M,300.9493964657599,310.88765542587385,1499.9686327388226,35.354189218843814,47,0,0,0,0,0,0
13,L0013,H,299.9499460825097,309.6793323744428,1381.8125874579198,40.44358797515607,125,0,0,0,0,0,0
14,H0014,M,301.6355325984006,311.79521135591233,1544.9473912832307,22.54292567140348,238,0,0,0,0,0,0
15,M0015,M,302.7804150980346,310.2300707591914,1708.6047049537115,44.94705653775033,6,0,0,0,0,0,0
16,L0016,L,301.1156206127037,310.4977430890914,1398.5240506814148,43.83435031403644,271,0,0,0,0,0,0
17,M0017,M,300.0207052396868,310.6659242520545,1463.8537233306015,35.90691525904279,36,0,0,0,0,0,0
18,M0018,L,297.3763275352997,310.42158661061444,1541.6446038101453,50.05924511796417,210,0,0,0,0,0,0
19,M0019,L,297.86977267384924,310.8389405004696,1494.609515099426,28.725039010469615,164,0,0,0,0,0,0
20,M0020,L,299.3895505912907,309.3827468134531,1401.7696419622685,51.27908993253569,124,0,0,0,0,0,0
21,L0021,M,298.7809755956814,309.441698246054,1612.1857856230472,41.54493665595251,191,0,0,0,0,0,0
22,L0022,L,299.6260573940291,308.8998457670283,1732.0040722017259,36.63447410121827,217,0,0,0,0,0,0
23,M0023,L,300.1132998497942,310.43950123062024,1519.6131459023907,39.80126364631688,213,0,0,0,0,0,0
24,M0024,M,301.0593855087135,310.7789365035121,1409.5931710264,38.92735234189058,61,0,0,0,0,0,0
25,L0025,L,299.8590024438818,310.4577728661519,1345.1039474946524,52.20282896417717,160,0,0,0,0,0,0
26,L0026,M,300.97300328765243,311.67449243334755,1525.7975981221182,29.233208725289863,65,0,0,0,0,0,0
27,L0027,L,300.12894882962024,309.99440398117093,1610.3877343316258,32.37480760853402,285,1,0,0,0,0,0
28,H0028,L,296.04906686729225,310.6687416555925,1547.516774649538,50.3630289207248,238,0,0,0,0,0,0
29,H0029,M,298.12132921236247,308.9082991238607,1499.7596159081147,34.04465064816141,19,0,0,0,0,0,0
30,H0030,L,299.71182488855675,309.6129002975256,1441.0728348210694,49.00533077331592,187,0,0,0,0,0,0
31,M0031,L,297.5806105143178,310.6955377575658,1390.7836367281911,56.99435983008709,81,0,0,0,0,0,0
32,H0032,L,301.1998574599924,310.84910211074316,1583.475132632488,35.98204973058366,201,1,0,0,0,0,1
33,M0033,L,303.0615016646874,309.70603305233584,1591.3771621385586,46.81362326575305,131,0,0,0,0,0,0
34,M0034,H,302.4375237033946,309.92840074814194,1345.4270213309267,28.463077186601417,36,1,0,0,1,0,0
35,H0035,L,299.5731142581396,308.48212625331917,1658.9838978180683,47.54733298067809,131,0,0,0,0,0,0
36,M0036,H,302.9814522736999,309.6429707991934,1557.4071220894002,41.99423985986767,76,0,0,0,0,0,0
37,H0037,L,300.29733491440425,310.8903831635198,1639.9594645145794,44.73038282160215,88,0,0,0,0,0,0
38,H0038,M,299.32582805776394,310.57520501610657,1365.7872251514884,33.54427927964605,252,0,0,0,0,0,0
39,L0039,M,298.7731946729181,310.5006657213812,1363.417584458456,23.389165844328275,193,1,0,1,0,1,0
40,H0040,M,299.3950606270237,310.04977368718096,1485.1030690232703,45.03252064749505,175,0,0,0,0,0,0
41,L0041,L,299.2236463629175,310.00706315862817,1550.2784426895194,19.365968475205456,32,0,0,0,0,0,0
42,H0042,L,300.34083244475096,309.33967886052653,1679.6360822926963,36.82649507757465,57,0,0,0,0,0,0
